"Frame","Outcome","Predicted probability","95% CI lower","95% CI upper"
"Control","Reject public funding",0.12,0.08,0.16
"Loss (rescue) frame","Reject public funding",0.07,0.04,0.1
"Gains (health maximisation) frame","Reject public funding",0.11,0.08,0.15
"Control","Conditional funding (if price is reduced)",0.5,0.44,0.56
"Loss (rescue) frame","Conditional funding (if price is reduced)",0.44,0.38,0.51
"Gains (health maximisation) frame","Conditional funding (if price is reduced)",0.55,0.49,0.61
"Control","Unconditional public funding",0.29,0.23,0.35
"Loss (rescue) frame","Unconditional public funding",0.33,0.26,0.39
"Gains (health maximisation) frame","Unconditional public funding",0.19,0.14,0.23
"Control","I don't know",0.08,0.06,0.11
"Loss (rescue) frame","I don't know",0.16,0.11,0.2
"Gains (health maximisation) frame","I don't know",0.15,0.11,0.19
