"M1_ID","Frame","outcome","M6_6_KEHYSB","M6_6_KEHYSC","M6_6_KEHYSD","M1_1","M1_2","M1_2_1","M1_2_2","M1_2_2_3luokkaa","M1_3","M1_5","M1_6","M1_7","M1_8","M1_9","M1_10","M1_11","M1_12","M2_1","M2_2","M2_5","M2_5_2_1","M2_5_2_2","M2_5_2_3","M2_5_2_4","M2_5_2_5","M2_5_2_6","M2_5_2_7","M2_5_2_8","M2_5_2_9","M2_5_2_10","M2_6_0","M2_6_1","M2_6_2","M2_6_3","M2_6_4","M2_6_5","M2_6_6","M2_6_7","M2_6_8","M2_6_9","M2_6_10","M2_6_11","M2_6_12","M2_6_13","M2_6_14","M2_6_15","M2_6_16","M2_6_99","M2_6_1A","M2_6_2A","M2_6_3A","M2_6_4A","M2_6_5A","M2_6_6A","M2_6_7A","M2_6_8A","M2_6_9A","M2_6_10A","M2_6_11A","M2_6_12A","M2_6_13A","M2_6_14A","M2_6_15A","M2_6_16A","M2_6_99A","M2_6_1B","M2_6_2B","M2_6_3B","M2_6_4B","M2_6_5B","M2_6_6B","M2_6_7B","M2_6_8B","M2_6_9B","M2_6_10B","M2_6_11B","M2_6_12B","M2_6_13B","M2_6_14B","M2_6_15B","M2_6_16B","M2_6_99B","M2_3_0","M2_3_1","M2_3_2","M2_3_3","M2_3_4","M2_3_5","M2_3_6","M2_3_7","M2_3_8","M2_3_9","M2_3_10","M2_3_11","M2_3_12","M2_3_13","M2_3_14","M2_3_15","M2_3_16","M2_3_17","M2_3_18","M2_3_19","M2_3_20","M2_3_21","M2_3_22","M2_3_23","M2_3_24","M2_3_99","M2_7_1","M2_7_2","M2_7_3","M2_7_4","M2_7_5","M2_7_6","M2_4","M2_8","M2_9","M2_10","M2_11","M2_12","M2_13","M4_1_1","M4_1_2","M4_1_3","M4_1_4","M4_1_5","M4_1_6","M4_1_7","M4_1_8","M4_1_9","M4_1_10","M4_1_11","M4_1_12","M6_1_1","M6_1_2","M6_1_3","M6_1_4","M6_1_5","M6_4","M6_5_1_1","M6_5_1_2","M6_5_1_3","M6_5_1_4","M6_5_1_5","M6_5_2_1","M6_5_2_2","M6_5_2_3","M6_7_1","M6_7_2","M6_8","SUURALUE","IKA","PAINOKERROIN"
"1440","Frame C","A medicine should be introduced at public expense if a company lowers its price",NA,"A medicine should be introduced at public expense if a company lowers its price",NA,"Female","2001","20","18-24","18-34","Unmarried","I study","High school","No","Other city centre or suburb","Central Finland","Up to 1000 €","Yes","Yes","Moderate","Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Well",NA,NA,NA,NA,NA,NA,NA,NA,"99",NA,NA,NA,NA,NA,NA,NA,"Less often",NA,NA,NA,NA,NA,NA,NA,NA,"At least once every six months",NA,NA,NA,NA,NA,NA,NA,"En","En","En","En","En","En","En","En","En","En","En","En","En","En","Yes","Yes","En","En","En","En","En","En","En","En","En","En","Yes","No","No","No","Yes","No","3","En","A few times a week","Yes","All 100 €","No","There have been some problems","Totally agree","Somewhat agree","Totally agree","Totally disagree","Totally disagree","Totally disagree","Totally agree","Totally agree","Somewhat disagree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally disagree","Totally agree","Somewhat disagree","All 100 €","Totally agree","Totally agree","Totally agree","Totally agree","Totally disagree","Totally agree","Totally disagree","Totally disagree","Somewhat agree","Somewhat agree","7","Western Finland","18-24","2.24574083319688"
"1745","Frame D","A medicine should be introduced at public expense if a company lowers its price",NA,NA,"A medicine should be introduced at public expense if a company lowers its price","Other","2000","21","18-24","18-34","Married / in a registered partnership / cohabiting","I work full-time","Vocational education and training","No","Other city centre or suburb","Central Ostrobothnia","Up to 1000 €","Yes","Yes","Moderate","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","I do not take medicines for my long-term illness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately",NA,NA,NA,NA,"Less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"At least once every six months",NA,NA,NA,NA,"En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","Yes","En","En","En","En","En","Yes","No","No","No","No","No","1","Yes","Less than once a month","Yes","All 100 €","No","There have been some problems","Somewhat agree","Somewhat disagree","I don't know","Somewhat disagree","Totally disagree","Somewhat agree","Totally agree","Somewhat agree","Totally disagree","Somewhat disagree","Somewhat disagree","I don't know","Somewhat agree","I don't know","I don't know","Somewhat disagree","I don't know","All 100 €","Somewhat disagree","Somewhat agree","Somewhat agree","I don't know","Totally disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Totally disagree","Somewhat disagree","4","Northern and Eastern Finland","18-24","3.43170955064449"
"583","Frame A",NA,NA,NA,NA,"Female","1999","22","18-24","18-34","Unmarried","I study","University of Applied Sciences","Yes","Municipal centre, parish or agglomeration","Uusimaa","Up to 1000 €","Yes","Yes","Moderate","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Well",NA,NA,NA,NA,NA,NA,NA,"Quite well",NA,NA,NA,NA,NA,NA,NA,NA,"Once a year",NA,NA,NA,NA,NA,NA,NA,"At least every three months",NA,NA,NA,NA,NA,NA,NA,NA,"En","Yes","Yes","En","En","En","En","En","En","En","En","En","En","Yes","En","En","En","Yes","En","En","En","En","En","En","En","En","Yes","Yes","No","No","No","No","7","Yes","1-2 times a month","Yes","100-299 €","No","There have been some problems","Totally agree","Somewhat disagree","Totally disagree","Totally disagree","Totally disagree","Totally disagree","Totally agree","Totally agree","Totally disagree","Somewhat disagree","Somewhat disagree","Totally agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","100-299 €","Totally agree","Totally agree","Totally agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","5","Helsinki-Uusimaa","18-24","1.55859742920608"
"1423","Frame D",NA,NA,NA,"I don't know","Male","1999","22","18-24","18-34","Unmarried","I study","University of Applied Sciences","No","Helsinki metropolitan area (Helsinki, Espoo, Vantaa, Kauniainen) city centre or suburbs","Uusimaa","1001-2000 €","Yes","Yes","Pretty good","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Well",NA,NA,NA,NA,NA,"Less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Once a year",NA,NA,NA,NA,NA,"En","En","Yes","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","Yes","No","No","No","No","No","6","En","Less than once a month","Yes","100-299 €","No","There have been no problems at all","Totally agree","Somewhat agree","Somewhat agree","I don't know","Somewhat agree","Somewhat disagree","Totally agree","Totally agree","Totally disagree","Somewhat agree","I don't know","Somewhat agree","I don't know","I don't know","I don't know","Somewhat disagree","Somewhat agree","300-599 €","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Totally disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Totally disagree","Somewhat disagree","6","Helsinki-Uusimaa","18-24","2.04314789862073"
"521","Frame A",NA,NA,NA,NA,"Male","1999","22","18-24","18-34","Unmarried","I study","High school","No","Other city centre or suburb","Southwest Finland","Up to 1000 €","Yes","Yes","Good for","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","I do not take medicines for my long-term illness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Once every two years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En",NA,NA,NA,NA,NA,NA,"2","Yes","1-2 times a month","En","All 100 €","No","I have not taken any medicines prescribed by my doctor","Somewhat agree","Somewhat disagree","I don't know","Totally disagree","Somewhat disagree","Totally disagree","Somewhat agree","Totally agree","Totally disagree","Totally disagree","Somewhat disagree","Totally agree","I don't know","I don't know","I don't know","I don't know","I don't know","100-299 €","Totally agree","Somewhat agree","Totally agree","Somewhat agree","Totally disagree","Somewhat disagree","Totally disagree","Totally disagree","Somewhat agree","Somewhat disagree","8","Southern Finland","18-24","3.61197754743901"
"518","Frame A",NA,NA,NA,NA,"Female","1998","23","18-24","18-34","Married / in a registered partnership / cohabiting","I study","High school","No","Helsinki metropolitan area (Helsinki, Espoo, Vantaa, Kauniainen) city centre or suburbs","Uusimaa","2001-3000 €","En","Yes","Good for","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","I do not take medicines for my long-term illness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","Yes","En","En","En","En","En","En","En","En","Yes","No","No","No","No","No","2","Yes","1-2 times a month","Yes","All 100 €","No","There have been no problems at all","Totally agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Totally disagree","Totally agree","Totally agree","Totally disagree","Totally disagree","Somewhat disagree","Totally agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","100-299 €","Totally agree","Totally agree","Totally agree","Totally agree","Totally disagree","Somewhat disagree","Totally disagree","Totally disagree","Somewhat agree","Somewhat agree","8","Helsinki-Uusimaa","18-24","2.16874032499768"
"526","Frame A",NA,NA,NA,NA,"Male","1997","24","18-24","18-34","Unmarried","I study","High school","No","Other city centre or suburb","South Ostrobothnia","Up to 1000 €","Yes","Yes","Good for","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En",NA,NA,NA,NA,NA,NA,"0","En","Less than once a month","Yes","I do not take medicines prescribed by my doctor","No","I have not taken any medicines prescribed by my doctor","Totally agree","Somewhat agree","I don't know","Totally disagree","Totally disagree","Somewhat disagree","Totally agree","Somewhat agree","Totally disagree","Somewhat agree","Somewhat agree","Totally agree","Totally disagree","Totally disagree","Totally agree","I don't know","Totally agree","300-599 €","Somewhat agree","Totally agree","Somewhat agree","I don't know","Somewhat agree","I don't know","Somewhat disagree","Somewhat disagree","I don't know","Somewhat disagree","10 I trust you completely","Western Finland","18-24","4.1154734078622"
"916","Frame B","The medicine should be made available at public expense, regardless of the price charged by the company","The medicine should be made available at public expense, regardless of the price charged by the company",NA,NA,"Male","1996","25","25-29","18-34","Married / in a registered partnership / cohabiting","I study","Vocational education and training","No","Municipal centre, parish or agglomeration","South Ostrobothnia","1001-2000 €","Yes","Yes","Moderate","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","I do not take medicines for my long-term illness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En",NA,NA,NA,NA,NA,NA,"4","En","Less than once a month","Yes","All 100 €","No","There have been a lot of problems","Totally agree","Totally agree","I don't know","Totally disagree","Somewhat agree","Somewhat disagree","Totally agree","Totally agree","Totally disagree","Somewhat disagree","Somewhat agree","Totally agree","Totally agree","Totally agree","Somewhat disagree","Somewhat agree","Somewhat agree","All 100 €","Somewhat agree","Totally agree","Totally agree","Totally agree","Totally disagree","Somewhat disagree","Totally disagree","Totally disagree","Totally agree","Totally agree","8","Western Finland","25-34","4.1154734078622"
"730","Frame D",NA,NA,NA,"I don't know","Male","1996","25","25-29","18-34","Unmarried","I work full-time","University or college","No","Other city centre or suburb","Southwest Finland","2001-3000 €","Yes","I don't know","Pretty good","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Quite well",NA,NA,NA,NA,NA,NA,"99",NA,NA,"99",NA,NA,NA,NA,"99","Quite well","Less often",NA,NA,NA,NA,NA,NA,"Less often",NA,NA,"Less often",NA,NA,NA,NA,"Less often","Less often","En","Yes","Yes","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","Yes","En","En","Yes","Yes","No","No","No","No","7","En","Never ever","Yes","100-299 €","No","There have been no problems at all","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","I don't know","Somewhat disagree","Somewhat agree","Somewhat disagree","I don't know","I don't know","I don't know","Somewhat disagree","I don't know","Somewhat disagree","Somewhat disagree","I don't know","Somewhat disagree","Totally agree","Somewhat agree","Totally disagree","Totally disagree","I don't know","Somewhat disagree","Totally disagree","Somewhat disagree","Somewhat disagree","4","Southern Finland","25-34","2.59580128376806"
"1149","Frame D","The medicine should not be introduced with social funding",NA,NA,"The medicine should not be introduced with social funding","Female","1995","26","25-29","18-34","Unmarried","I am unemployed or laid off","Vocational education and training","No","Other city centre or suburb","North Savo","3001-4000 €","Yes","Yes","Moderate","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Quite well",NA,NA,NA,NA,NA,NA,NA,"99",NA,NA,NA,NA,NA,NA,NA,NA,"Once a year",NA,NA,NA,NA,NA,NA,NA,"Less often",NA,NA,NA,NA,NA,NA,NA,NA,"En","Yes","Yes","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","En","Yes","Yes","Yes","No","No","No","No","5","Yes","Daily","Yes","100-299 €","No","There have been a lot of problems","Totally agree","Somewhat agree","Totally disagree","Totally disagree","Totally disagree","Totally disagree","Totally agree","Totally agree","Totally disagree","Totally disagree","I don't know","Totally agree","Totally agree","Totally agree","Somewhat agree","Somewhat agree","Totally disagree","All 100 €","Somewhat agree","Totally agree","Totally agree","Somewhat agree","Totally disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","8","Northern and Eastern Finland","25-34","2.67307724273432"
